pubDisplay,pubDiscount
[ American Chemical Society ] ( https://www.acs.org/ ),$250USD discount on APCs
[ Association for Computing Machery ] ( https://www.acm.org/ ),Corresponding authors at participating institutions can publish an unlimited number of Open Access articles without incurring Article Processing Charges (APCs)
[ Cambridge University Press ] ( https://www.cambridge.org/ ),No APCs to publish in hybrid and gold OA journals
[ Canadian Science Publishing ] ( https://cdnsciencepub.com/ ),No charge to publish in:  25% discount on APCs for hybrid journals
[ Company of Biologists ] ( https://www.biologists.com/ ),No APCs to publish in: 
[ Elsevier ] ( https://www.biologists.com/ ),No APCs for hybrid journals; 20% discount on APCs for most gold journals
[ JMIR ] ( https://jmirpublications.com/ ),10% discount on APCs
[ MDPI ] ( https://www.mdpi.com/ ),10% discount on APCs and BPCs (book processing charges)
[ Microbiology Society Journals ] ( https://www.microbiologyresearch.org/ ),No APCs
[ Open Book Publishers ] ( https://www.openbookpublishers.com/ ),"No Book Processing Charges (BCPs), free downloads"
[ Oxford University Press ] ( https://www.openbookpublishers.com/ ),No APCs for hybrid journals; 10% discount on APCs for gold journals
[ Public Library of Science (PLOS) ] ( https://plos.org/ ),No APCs for
[ Open Library of the Humanities ] ( https://www.openlibhums.org/ ),No APCs
[ The Royal Society ] ( https://royalsociety.org/journals/ ),No APCs for:
[ Royal Scienty of Chemists ] ( https://www.rsc.org/ ),15% discount on APCs for hybrid journals
[ Sage Journals ] ( https://journals.sagepub.com/ ),No APCs for hybrid journals; 40% discount for gold journals
[ Taylor and Francis ] ( https://www.tandfonline.com/ ),25% discount on APCs for T&F Open Select hybrid journals
[ Wiley ] ( https://authorservices.wiley.com/author-resources/Journal-Authors/find-a-journal/index.html ),No APCs for hybrid journals
